"dbp_uri","name","developer","publisher","release_date","homepage","mode","ign","metacritic"
"http://dbpedia.org/resource/Epic_Mickey","Epic Mickey","http://dbpedia.org/resource/Junction_Point_Studios","http://dbpedia.org/resource/Disney_Interactive_Studios",2010-11-25,"http://disney.go.com/mickey/#/video_games/disney_epic_mickey","http://dbpedia.org/resource/Single-player_video_game",80,73
"http://dbpedia.org/resource/Skate_3","Skate 3","http://dbpedia.org/resource/EA_Black_Box","http://dbpedia.org/resource/Electronic_Arts",2011-05-10,"http://www.ea.com/skate-3","http://dbpedia.org/resource/Multiplayer_video_game",80,80
"http://dbpedia.org/resource/Ratchet_&_Clank_(2002_video_game)","Ratchet & Clank (2002 video game)","http://dbpedia.org/resource/Insomniac_Games","http://dbpedia.org/resource/Sony_Computer_Entertainment",2002-11-04,"https://www.insomniacgames.com/games/ratchet-clank/","http://dbpedia.org/resource/Single-player_video_game",92.0,88
"http://dbpedia.org/resource/Transformers:_Fall_of_Cybertron","Transformers: Fall of Cybertron","http://dbpedia.org/resource/High_Moon_Studios","http://dbpedia.org/resource/Activision",1924-08-12,"http://www.transformersgame.com","http://dbpedia.org/resource/Multiplayer_video_game",85.0,77
"http://dbpedia.org/resource/Bionic_Commando_Rearmed","Bionic Commando Rearmed","http://dbpedia.org/resource/Grin_(company)","http://dbpedia.org/resource/Capcom",2008-08-13,"http://www.bioniccommando.com/us/pages/BCR_Game_Overview","http://dbpedia.org/resource/Deathmatch_(gaming)",94.0,85
"http://dbpedia.org/resource/The_Secret_World","The Secret World","http://dbpedia.org/resource/Funcom","http://dbpedia.org/resource/Electronic_Arts",2012-07-03,"http://www.thesecretworld.com/","http://dbpedia.org/resource/Multiplayer_video_game",79.0,74
"http://dbpedia.org/resource/Silent_Hunter_5:_Battle_of_the_Atlantic","Silent Hunter 5: Battle of the Atlantic","http://dbpedia.org/resource/Ubisoft_Romania","http://dbpedia.org/resource/Ubisoft",2010-03-02,"http://silent-hunter.uk.ubi.com/silent-hunter-5","http://dbpedia.org/resource/Multiplayer",57.0,62
"http://dbpedia.org/resource/Dead_Island","Dead Island","http://dbpedia.org/resource/Techland","http://dbpedia.org/resource/Deep_Silver",2011-09-06,"http://deadisland.deepsilver.com/dead-island/deadisland.php","http://dbpedia.org/resource/Multiplayer_video_game",80,71
"http://dbpedia.org/resource/Kirby's_Return_to_Dream_Land","Kirby's Return to Dream Land","http://dbpedia.org/resource/HAL_Laboratory","http://dbpedia.org/resource/Nintendo",2011-10-24,"http://kirby.nintendo.com/returntodreamland/","http://dbpedia.org/resource/Multiplayer_video_game",75.0,77
"http://dbpedia.org/resource/Disney_Infinity","Disney Infinity","http://dbpedia.org/resource/Avalanche_Software","http://dbpedia.org/resource/Disney_Interactive_Studios",1923-08-13,"https://infinity.disney.com","http://dbpedia.org/resource/Multiplayer_video_game",87.0,74
"http://dbpedia.org/resource/SOCOM_3","SOCOM 3","http://dbpedia.org/resource/Zipper_Interactive","http://dbpedia.org/resource/Sony_Computer_Entertainment",1921-04-05,"http://www.socom.com","http://dbpedia.org/resource/Single_player",90,82
"http://dbpedia.org/resource/Alan_Wake's_American_Nightmare","Alan Wake's American Nightmare","http://dbpedia.org/resource/Remedy_Entertainment","http://dbpedia.org/resource/Microsoft_Studios",2012-02-22,"http://www.alanwake.com/american-nightmare/","http://dbpedia.org/resource/Single-player_video_game",80,73
"http://dbpedia.org/resource/New_Super_Mario_Bros._Wii","New Super Mario Bros. Wii","http://dbpedia.org/resource/Nintendo_Entertainment_Analysis_and_Development","http://dbpedia.org/resource/Nintendo",2015-11-09,"http://mariobroswii.com","http://dbpedia.org/resource/Multiplayer_video_game",89.0,87
"http://dbpedia.org/resource/Worms_Forts:_Under_Siege","Worms Forts: Under Siege","http://dbpedia.org/resource/Team17","http://dbpedia.org/resource/Sega",2004-11-19,"http://www.wormsforts.com/","http://dbpedia.org/resource/Multiplayer_game",69.0,60
"http://dbpedia.org/resource/Call_of_Duty:_Modern_Warfare_3","Call of Duty: Modern Warfare 3","http://dbpedia.org/resource/Infinity_Ward","http://dbpedia.org/resource/Activision",2011-11-11,"http://callofduty.com/mw3","http://dbpedia.org/resource/Multiplayer_video_game",45.0,70
"http://dbpedia.org/resource/The_Ico_&_Shadow_of_the_Colossus_Collection","The Ico & Shadow of the Colossus Collection","http://dbpedia.org/resource/Bluepoint_Games","http://dbpedia.org/resource/Sony_Computer_Entertainment",1927-09-11,"http://us.playstation.com/games-and-media/games/ico-and-shadow-of-colossus-collection-ps3.html","http://dbpedia.org/resource/Multiplayer_video_game",85.0,92
"http://dbpedia.org/resource/Yakuza_5","Yakuza 5","http://dbpedia.org/resource/Sega","http://dbpedia.org/resource/Sega",2012-12-05,"http://yakuza.sega.com/yakuza5/","http://dbpedia.org/resource/Single-player_video_game",84.0,83
"http://dbpedia.org/resource/Tales_of_Vesperia","Tales of Vesperia","http://dbpedia.org/resource/Namco_Tales_Studio","http://dbpedia.org/resource/Bandai_Namco_Entertainment",1926-08-08,"http://tov.namco-ch.net/xbox/","http://dbpedia.org/resource/Multiplayer",82.0,79
"http://dbpedia.org/resource/Kingdom_Hearts_3D:_Dream_Drop_Distance","Kingdom Hearts 3D: Dream Drop Distance","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Square_Enix",2012-03-29,"http://www.square-enix.co.jp/kingdom/3d/","http://dbpedia.org/resource/Multiplayer_video_game",85.0,75
"http://dbpedia.org/resource/Transformers:_Devastation","Transformers: Devastation","http://dbpedia.org/resource/PlatinumGames","http://dbpedia.org/resource/Activision",2015-10-06,"http://www.transformersgame.com","http://dbpedia.org/resource/Single-player_video_game",77.0,74
"http://dbpedia.org/resource/The_Elder_Scrolls_V:_Skyrim_–_Dawnguard","The Elder Scrolls V: Skyrim – Dawnguard","http://dbpedia.org/resource/Bethesda_Game_Studios","http://dbpedia.org/resource/Bethesda_Softworks",1927-02-13,"http://bethsoft.com/en-us/games/skyrim_dawnguard","http://dbpedia.org/resource/Single-player_video_game",80,66
"http://dbpedia.org/resource/Divekick","Divekick","http://dbpedia.org/resource/Iron_Galaxy","http://dbpedia.org/resource/Iron_Galaxy",2020-08-13,"http://www.divekick.com/","http://dbpedia.org/resource/Multiplayer",70,65
"http://dbpedia.org/resource/Dark_Void","Dark Void","http://dbpedia.org/resource/Airtight_Games","http://dbpedia.org/resource/Capcom",1921-01-10,"http://www.darkvoidgame.com/","http://dbpedia.org/resource/Single-player_video_game",50,57
"http://dbpedia.org/resource/Dead_Space_(2008_video_game)","Dead Space (2008 video game)","http://dbpedia.org/resource/Visceral_Games","http://dbpedia.org/resource/Electronic_Arts",2008-10-13,"http://www.ea.com/dead-space","http://dbpedia.org/resource/Single-player_video_game",87.0,86
"http://dbpedia.org/resource/Ratchet_&_Clank:_Into_the_Nexus","Ratchet & Clank: Into the Nexus","http://dbpedia.org/resource/Insomniac_Games","http://dbpedia.org/resource/Sony_Computer_Entertainment",2013-11-06,"https://www.insomniacgames.com/games/ratchet-clank-into-the-nexus/","http://dbpedia.org/resource/Single-player_video_game",82.0,76
"http://dbpedia.org/resource/Resistance_3","Resistance 3","http://dbpedia.org/resource/Insomniac_Games","http://dbpedia.org/resource/Sony_Computer_Entertainment",2011-09-06,"http://www.insomniacgames.com/","http://dbpedia.org/resource/Multiplayer_video_game",90,83
"http://dbpedia.org/resource/The_Settlers:_Rise_of_an_Empire","The Settlers: Rise of an Empire","http://dbpedia.org/resource/Blue_Byte_Software","http://dbpedia.org/resource/Ubisoft",1928-09-07,"http://thesettlers.us.ubi.com/the-settlers-rise-of-an-empire/home.php''The","http://dbpedia.org/resource/Multiplayer_video_game",65.0,66
"http://dbpedia.org/resource/Green_Day:_Rock_Band","Green Day: Rock Band","http://dbpedia.org/resource/Harmonix","http://dbpedia.org/resource/MTV",2011-06-10,"http://www.greendayrockband.com/","http://dbpedia.org/resource/Multiplayer_video_game",83.0,75
"http://dbpedia.org/resource/Castlevania:_Harmony_of_Dissonance","Castlevania: Harmony of Dissonance","http://dbpedia.org/resource/Konami","http://dbpedia.org/resource/Konami",1921-01-14,"http://www.konami.jp/gs/game/CV01/contents.html","http://dbpedia.org/resource/Single-player",92.0,87
"http://dbpedia.org/resource/World_of_Warcraft","World of Warcraft","http://dbpedia.org/resource/Blizzard_Entertainment","http://dbpedia.org/resource/Blizzard_Entertainment",2004-11-23,"http://us.battle.net/wow/en/","http://dbpedia.org/resource/Multiplayer",91.0,93
"http://dbpedia.org/resource/Lego_Marvel's_Avengers","Lego Marvel's Avengers","http://dbpedia.org/resource/Traveller's_Tales","http://dbpedia.org/resource/Warner_Bros._Interactive_Entertainment",2016-01-26,"http://www.lego.com/en-us/marvelsuperheroes/marvels-avengers","http://dbpedia.org/resource/Multiplayer_video_game",67.0,64
"http://dbpedia.org/resource/Evolve_(video_game)","Evolve (video game)","http://dbpedia.org/resource/Turtle_Rock_Studios","http://dbpedia.org/resource/2K_Games",2015-02-10,"http://www.evolvegame.com/","http://dbpedia.org/resource/Multiplayer_video_game",90,74
"http://dbpedia.org/resource/Beyond:_Two_Souls","Beyond: Two Souls","http://dbpedia.org/resource/Quantic_Dream","http://dbpedia.org/resource/Sony_Computer_Entertainment",2013-10-08,"http://beyond.eu.playstation.com/en_GB/","http://dbpedia.org/resource/Multiplayer_video_game",60,70
"http://dbpedia.org/resource/Neverwinter_(video_game)","Neverwinter (video game)","http://dbpedia.org/resource/Cryptic_Studios","http://dbpedia.org/resource/Perfect_World_(company)",2013-06-20,"http://www.arcgames.com/en/games/neverwinter/","http://dbpedia.org/resource/Multiplayer_video_game",68.0,66
"http://dbpedia.org/resource/Shovel_Knight","Shovel Knight","http://dbpedia.org/resource/Yacht_Club_Games","http://dbpedia.org/resource/Yacht_Club_Games",2014-06-26,"http://yachtclubgames.com/shovel-knight/","http://dbpedia.org/resource/Multiplayer_video_game",90,85
"http://dbpedia.org/resource/Runner2:_Future_Legend_of_Rhythm_Alien","Runner2: Future Legend of Rhythm Alien","http://dbpedia.org/resource/Gaijin_Games","http://dbpedia.org/resource/Aksys_Games",2011-04-13,"http://runner2.com","http://dbpedia.org/resource/Single-player_video_game",90,84
"http://dbpedia.org/resource/Age_of_Conan","Age of Conan","http://dbpedia.org/resource/Funcom","http://dbpedia.org/resource/Eidos_Interactive",1923-05-08,"http://www.ageofconan.com/","http://dbpedia.org/resource/Multiplayer_video_game",78.0,80
"http://dbpedia.org/resource/Mega_Man_ZX","Mega Man ZX","http://dbpedia.org/resource/Inti_Creates","http://dbpedia.org/resource/Capcom",2012-09-06,"http://www.capcom.com/megaman/megamanzx/index.html","http://dbpedia.org/resource/Single-player_video_game",82.0,76
"http://dbpedia.org/resource/Greed_Corp","Greed Corp","http://dbpedia.org/resource/W!Games","http://dbpedia.org/resource/Valcon_Games",2010-02-24,"http://www.vanguardgames.net/games/greed-corp/","http://dbpedia.org/resource/Multiplayer_video_game",88.0,797876
"http://dbpedia.org/resource/Grand_Slam_Tennis_2","Grand Slam Tennis 2","http://dbpedia.org/resource/EA_Canada","http://dbpedia.org/resource/EA_Sports",2014-02-12,"http://www.ea.com/grand-slam-tennis-2","http://dbpedia.org/resource/Multiplayer_video_game",85.0,73
"http://dbpedia.org/resource/Final_Fantasy_XIV","Final Fantasy XIV","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Square_Enix",2010-09-30,"https://web.archive.org/web/20101212103511/http:/lodestone.finalfantasyxiv.com/pl/index.html?","http://dbpedia.org/resource/Multiplayer_video_game",55.0,49
"http://dbpedia.org/resource/Anno_2205","Anno 2205","http://dbpedia.org/resource/Blue_Byte_Mainz","http://dbpedia.org/resource/Ubisoft",2015-11-03,"http://anno-game.ubi.com/anno-2205/en-GB/home/index.aspx","http://dbpedia.org/resource/Single-player_video_game",70,72
"http://dbpedia.org/resource/Sonic_Colors","Sonic Colors","http://dbpedia.org/resource/Sonic_Team","http://dbpedia.org/resource/Sega",2012-11-10,"http://www.soniccolors.com/","http://dbpedia.org/resource/Multiplayer_video_game",85.0,78
"http://dbpedia.org/resource/Lego_City_Undercover:_The_Chase_Begins","Lego City Undercover: The Chase Begins","http://dbpedia.org/resource/TT_Fusion","http://dbpedia.org/resource/Nintendo",2013-04-21,"http://legocity3ds.nintendo.com/","http://dbpedia.org/resource/Single-player_video_game",63.0,65
"http://dbpedia.org/resource/Supreme_Ruler_2020","Supreme Ruler 2020","http://dbpedia.org/resource/BattleGoat_Studios","http://dbpedia.org/resource/Paradox_Interactive",2008-06-17,"http://www.paradoxplaza.com/SupremeRuler2020/","http://dbpedia.org/resource/Multiplayer_video_game",78.0,65
"http://dbpedia.org/resource/Dewy's_Adventure","Dewy's Adventure","http://dbpedia.org/resource/Konami","http://dbpedia.org/resource/Konami",1925-09-07,"http://www.konami.jp/gs/game/Dewy/","http://dbpedia.org/resource/Multiplayer_gaming",68.0,67
"http://dbpedia.org/resource/Heroes_of_Mana","Heroes of Mana","http://dbpedia.org/resource/Brownie_Brown","http://dbpedia.org/resource/Square_Enix",2014-08-07,"http://archive.na.square-enix.com/heroesofmana/","http://dbpedia.org/resource/Multiplayer_video_game",80,66
"http://dbpedia.org/resource/Star_Wars_Battlefront:_Elite_Squadron","Star Wars Battlefront: Elite Squadron","http://dbpedia.org/resource/Rebellion_Developments","http://dbpedia.org/resource/LucasArts",2009-11-03,"http://www.lucasarts.com/games/swbattlefrontelitesquadron/","http://dbpedia.org/resource/Multiplayer_video_game",60,61
"http://dbpedia.org/resource/Wipeout_HD","Wipeout HD","http://dbpedia.org/resource/SCE_Studio_Liverpool","http://dbpedia.org/resource/Sony_Computer_Entertainment",2009-10-16,"http://www.wipeouthd.com/","http://dbpedia.org/resource/Multiplayer_video_game",90,87
"http://dbpedia.org/resource/Starpoint_Gemini_2","Starpoint Gemini 2","http://dbpedia.org/resource/Little_Green_Men_Games","http://dbpedia.org/resource/Iceberg_Interactive",2014-09-26,"http://www.starpointgemini.com/news","http://dbpedia.org/resource/Single-player",80,70
"http://dbpedia.org/resource/Mario_Pinball_Land","Mario Pinball Land","http://dbpedia.org/resource/Silverball_Studios","http://dbpedia.org/resource/Nintendo",1926-11-04,"https://www.nintendo.co.uk/NOE/en_GB/games/gba/super_mario_ball.html","http://dbpedia.org/resource/Single-player_video_game",50,62
"http://dbpedia.org/resource/Murdered:_Soul_Suspect","Murdered: Soul Suspect","http://dbpedia.org/resource/Airtight_Games","http://dbpedia.org/resource/Square_Enix",2014-06-03,"http://www.murdered.com/","http://dbpedia.org/resource/Single-player_video_game",55.0,50
"http://dbpedia.org/resource/Killzone_3","Killzone 3","http://dbpedia.org/resource/Guerrilla_Games","http://dbpedia.org/resource/Sony_Computer_Entertainment",1924-02-11,"http://www.killzone.com/","http://dbpedia.org/resource/Multiplayer_video_game",85.0,84
"http://dbpedia.org/resource/Diablo_III","Diablo III","http://dbpedia.org/resource/Blizzard_Entertainment","http://dbpedia.org/resource/Blizzard_Entertainment",2012-05-15,"http://blizzard.com/diablo3/","http://dbpedia.org/resource/Multiplayer_video_game",95.0,86
"http://dbpedia.org/resource/Rock_Band_3","Rock Band 3","http://dbpedia.org/resource/Backbone_Entertainment","http://dbpedia.org/resource/Mad_Catz",2010-10-26,"http://www.rockband.com/games/rb3","http://dbpedia.org/resource/Multiplayer_video_game",85.0,93
"http://dbpedia.org/resource/PlanetSide_2","PlanetSide 2","http://dbpedia.org/resource/Daybreak_Game_Company","http://dbpedia.org/resource/Daybreak_Game_Company",2012-11-20,"http://www.planetside2.com","http://dbpedia.org/resource/Multiplayer_video_game",90,77
"http://dbpedia.org/resource/Phantasy_Star_0","Phantasy Star 0","http://dbpedia.org/resource/Sega","http://dbpedia.org/resource/Sega",2010-11-08,"http://phantasystar.sega.jp/pszero/","http://dbpedia.org/resource/Multiplayer_video_game",86.0,71
"http://dbpedia.org/resource/Mile_High_Pinball","Mile High Pinball","http://dbpedia.org/resource/Ideaworks3D","http://dbpedia.org/resource/Nokia",2014-11-05,"http://www.n-gage.com/ngi/ngage/web/g0/en/showroom/gamedetail.212.GameDetail.html","http://dbpedia.org/resource/Single_player",79.0,84
"http://dbpedia.org/resource/Section_8:_Prejudice","Section 8: Prejudice","http://dbpedia.org/resource/TimeGate_Studios","http://dbpedia.org/resource/TimeGate_Studios",2011-04-20,"http://warisprejudice.com/","http://dbpedia.org/resource/Multiplayer_video_game",60,360
